IDfg,Season,Name,ERA,FIP,xFIP,xERA,GB%,FB%,K%,BB%,HR/FB,HardHit%,BABIP,FB% 2,SL%
10603,2024,Chris Sale,2.38,2.09,2.64,2.8,0.44799999999999995,0.336,0.321,0.055999999999999994,0.063,0.307,0.314,0.455,0.40299999999999997
22267,2024,Tarik Skubal,2.39,2.49,2.83,2.72,0.457,0.358,0.303,0.046,0.08800000000000001,0.335,0.273,0.539,0.146
10310,2024,Zack Wheeler,2.57,3.13,3.3,2.8,0.426,0.39,0.285,0.066,0.10300000000000001,0.332,0.246,0.605,0.12300000000000001
21846,2024,Cole Ragans,3.14,2.99,3.46,3.31,0.40700000000000003,0.405,0.293,0.08800000000000001,0.081,0.35200000000000004,0.29,0.418,0.133
18525,2024,Dylan Cease,3.47,3.1,3.44,3.31,0.39799999999999996,0.424,0.294,0.085,0.091,0.382,0.263,0.435,0.43
12447,2024,Seth Lugo,3.0,3.25,3.83,3.75,0.442,0.36700000000000005,0.217,0.057,0.07400000000000001,0.39,0.277,0.439,0.23
20778,2024,Cristopher Sanchez,3.32,3.0,3.19,3.56,0.574,0.215,0.203,0.057999999999999996,0.09300000000000001,0.34299999999999997,0.313,0.473,0.168
17995,2024,Logan Webb,3.47,2.95,3.28,4.31,0.568,0.22699999999999998,0.205,0.059000000000000004,0.079,0.46,0.315,0.45399999999999996,0.213
25436,2024,George Kirby,3.53,3.26,3.58,3.41,0.413,0.40700000000000003,0.23,0.03,0.096,0.359,0.291,0.5760000000000001,0.239
22250,2024,Logan Gilbert,3.23,3.27,3.11,3.14,0.451,0.377,0.27399999999999997,0.046,0.129,0.39299999999999996,0.236,0.32299999999999995,0.32
19853,2024,Michael King,2.95,3.33,3.5,3.56,0.40399999999999997,0.368,0.27699999999999997,0.087,0.10300000000000001,0.301,0.29,0.522,0.17800000000000002
19879,2024,Tanner Houck,3.12,3.32,3.58,4.11,0.5589999999999999,0.239,0.207,0.065,0.08800000000000001,0.413,0.282,0.324,0.414
12768,2024,Sonny Gray,3.84,3.12,2.82,3.64,0.423,0.353,0.303,0.057999999999999996,0.14300000000000002,0.37799999999999995,0.299,0.41700000000000004,0.203
19361,2024,Corbin Burnes,2.92,3.55,3.55,3.34,0.48200000000000004,0.345,0.231,0.061,0.11599999999999999,0.316,0.269,0.08,0.145
17295,2024,Framber Valdez,2.91,3.25,3.08,3.41,0.606,0.2,0.24,0.078,0.14,0.44799999999999995,0.276,0.47100000000000003,0.0
20633,2024,Yusei Kikuchi,4.05,3.46,3.2,3.7,0.426,0.386,0.28,0.06,0.135,0.444,0.309,0.47,0.23399999999999999
13743,2024,Max Fried,3.25,3.33,3.33,3.7,0.588,0.23199999999999998,0.23199999999999998,0.08,0.11699999999999999,0.345,0.282,0.494,0.158
17425,2024,Erick Fedde,3.3,3.86,4.12,3.91,0.42100000000000004,0.39399999999999996,0.212,0.07200000000000001,0.099,0.377,0.271,0.312,0.20199999999999999
14078,2024,Michael Wacha,3.35,3.65,4.14,4.05,0.386,0.415,0.212,0.066,0.085,0.322,0.29,0.391,0.08
30134,2024,Tanner Bibee,3.47,3.56,3.72,3.75,0.34600000000000003,0.444,0.263,0.062,0.106,0.369,0.285,0.43700000000000006,0.278
17085,2024,Pablo Lopez,4.08,3.65,3.36,3.67,0.429,0.36200000000000004,0.256,0.053,0.138,0.371,0.309,0.48200000000000004,0.21899999999999997
16149,2024,Aaron Nola,3.57,3.94,3.44,3.72,0.445,0.33899999999999997,0.24,0.061,0.156,0.377,0.294,0.483,0.0
17479,2024,Jack Flaherty,3.17,3.48,3.0,3.54,0.395,0.37799999999999995,0.299,0.059000000000000004,0.155,0.349,0.285,0.465,0.292
